timestamp,outdoor_temp_c,humidity_pct,occupancy,hvac_kwh,lighting_kwh,plug_load_kwh,critical_load_kwh,total_energy_kwh,injected_anomaly
2026-01-01 00:00:00,-20.158643341753514,73.82383784362773,7,25.0429437775401,2.0273380356962925,2.5242005862379213,3.4458538079600958,33.22432227848232,0
2026-01-01 01:00:00,-22.79428683671109,80.69657260229377,12,26.90616382717493,0.985844917109971,3.0466101916213066,3.6234868052811118,34.20020455986708,0
2026-01-01 02:00:00,-19.869806431219533,68.92839331816245,0,25.409059945885595,0.6068332941168905,1.8781004455551167,3.26386995289835,31.295121219960198,0
2026-01-01 03:00:00,-19.427353838237185,78.26932586898643,0,23.67476314420655,1.690906688863215,2.6909113750207503,3.298824026547097,31.273383588727572,0
2026-01-01 04:00:00,-23.99342219804757,75.39571334439965,5,27.908064112282158,1.6524394599429346,1.4805632048409993,3.5698576739807404,34.418274905134865,0
2026-01-01 05:00:00,-22.334152359909368,77.09577661283197,0,25.989239201402338,1.0361779207853004,2.1081633842011387,3.580750362554248,32.464650287587034,0
2026-01-01 06:00:00,-19.178244778706127,83.65407157865634,1,25.482760045613674,1.2514663102935843,1.39590038869165,3.556996697495327,31.73869615226347,0
2026-01-01 07:00:00,-19.089052528933422,80.14884680696852,21,25.883981128261308,6.4202991916857055,3.4313438588086873,3.3270139002970374,38.87409862549086,0
2026-01-01 08:00:00,-17.6741354318478,79.66605872133476,42,25.692637236051745,6.7038493500602465,4.3857873850834626,4.000859283491089,40.78189005226304,0
2026-01-01 09:00:00,-18.189881483106774,66.0151820819789,67,25.24956434135828,6.652232161535334,6.295610117543228,3.6525653998182994,41.950323616948445,0
2026-01-01 10:00:00,-14.400596906823703,84.82181869909185,90,25.059629889818687,6.651311486066812,6.974868865818701,3.8372758394287256,42.67625138967399,0
2026-01-01 11:00:00,-13.848453439708383,66.23505221413004,115,24.75528974669944,7.674345836186805,7.943197291872815,3.8707348022800723,44.47714777999071,0
